Name,Area,Spotify_Name,Spotify_ID,Similarity_ratio
777 (Triple Seven),KR,777 (Triple Seven),1Y5rgGFlx3ws6zMNoqxa4G,100.0
79,JP,French 79,6MJKlN8ya42Agsw3iQZs6e,36.0
7979,KR,79797,1dxoqVdqFwheKVD2IjgRzb,89.0
7ORDER,JP,7ORDER,2RitDQzohyR2zJXoqovut4,100.0
7UPPERCUTS,VN,7UPPERCUTS,7BWNm2hXOL9wEuinNnWpxy,100.0
7_7,JP,LEGADO 7,7yCGrS6Xh3UngvY6Ad5sMJ,18.0
7dayz,KR,7-DAYZ,1busMGZHIVRPMEdi7yqeoS,18.0
7princess,KR,7Princess,1yt5iHajceymgE4tQffldP,89.0
7th Street Big Band,Latin,7th Street Big Band,0pKCHkc1ha578mH7yUGIbu,100.0
7years to midnight,JP,,,
7공주,KR,,,
8/pLanet!!,JP,Planet of the 8s,3ZMO6No33TsxKjkqLYgEu9,31.0
80's when music rocked,Latin,,,
800 Cherries,JP,800 cherries,47mrO8UvhD1Qt6iAIy4fCO,92.0
809 (Ocho Cero Nueve),Latin,,,
82MAJOR,KR,82MAJOR,1wDstpO8XQNU6GV0S92663,100.0
84LY,KR,,,
88-Keys,USUK,88-Keys,6RedK3o51NbUJuJxXlT4kj,100.0
88rising,USUK,88rising,1AhjOkOLkbHUfcHDSErXQs,100.0
8Eight (에이트),KR,8Eight,1ALSqzvl13pRiHxNJvgjff,67.0
8Eight(에이트),KR,,,
8TURN,KR,8TURN,7tCg9aiVKZ5Cmhbfb7UoqM,100.0
8eight,KR,Kolg8eight,4aXeIRAbV0aEn0NZVImnqO,75.0
8otto,JP,8otto,7710LCaCc1MYXB4qHzKIHU,100.0
8th Sin,EU,8th Sin,4zzHCZSFsPd2TxwTdhruqe,100.0
8x Band,VN,,,
9.10000,KR,qman(9.10000),6kov6ZeLUVYXsXbZ0mRu7a,70.0
90 Millas,Latin,90 Millas,0GnqpPfCqARYjk2UEqnU9l,100.0
